date,year,week,hour,dayOfMonth,day_x_hour,lagged_revenue_D_1,lagged_revenue_H_1,holiday_mean_encoded,current_weather_component_1,current_weather_component_2,weather_diff_to_exp_component_1,coronaImpact
2021-05-24 22:00:00,2021,21,22,24,122,0.0,0.0,59.866883430118435,0.4761524926599376,-0.006384715314007319,0.3726718145159806,0.6475760493345131
2021-05-25 12:00:00,2021,21,12,25,212,0.0,0.0,398.0927954662367,0.08548541579847331,0.15164227104600433,0.1289630166380848,0.6475760493345131
2021-05-25 13:00:00,2021,21,13,25,213,0.0,0.0,329.6126071784018,0.12097576530392852,0.15098583607125218,0.1598207761297851,0.6475760493345131
2021-05-25 14:00:00,2021,21,14,25,214,0.0,0.0,357.78847062550693,0.15027387521287924,0.1701846641361774,0.1810301515791164,0.6475760493345131
2021-05-25 15:00:00,2021,21,15,25,215,0.0,0.0,212.79696740234442,0.21656456749831984,0.1667437423493667,0.2149621734564106,0.6475760493345131
2021-05-25 16:00:00,2021,21,16,25,216,0.0,0.0,263.1684257282765,0.21038845025993255,0.16216188140691745,0.1941200998190626,0.6475760493345131
2021-05-25 17:00:00,2021,21,17,25,217,0.0,0.0,244.74004025946223,0.18175668020938862,0.1573757130496564,0.18044979461050875,0.6475760493345131
2021-05-25 18:00:00,2021,21,18,25,218,0.0,0.0,446.3854580565341,0.18086409538537557,0.14885734000814196,0.1669985837318263,0.6475760493345131
2021-05-25 19:00:00,2021,21,19,25,219,0.0,0.0,477.696106421452,0.1113840462158793,0.12961696398494957,0.11385259301630771,0.6475760493345131
2021-05-25 20:00:00,2021,21,20,25,220,0.0,0.0,317.8010732616934,0.04363844132834721,0.0959518017940499,0.06343873326425051,0.6475760493345131
2021-05-25 21:00:00,2021,21,21,25,221,0.0,0.0,162.53681921393306,-0.02751600916759651,0.07385267153683518,0.01344057337883569,0.6475760493345131
2021-05-25 22:00:00,2021,21,22,25,222,0.0,0.0,159.9804841530084,0.08577696189503423,0.052619012361970155,0.0986874078101295,0.6475760493345131
2021-05-26 12:00:00,2021,21,12,26,312,0.0,0.0,246.56778588080314,0.5185730157480096,0.0706908245873415,0.503865578868561,0.6475760493345131
2021-05-26 13:00:00,2021,21,13,26,313,0.0,0.0,278.6069912088839,0.45489725474347736,0.07645124372838019,0.4554493597771125,0.6475760493345131
2021-05-26 14:00:00,2021,21,14,26,314,0.0,0.0,230.73279229298623,0.39218148349056253,0.0924872255708741,0.40301192457265256,0.6475760493345131
2021-05-26 15:00:00,2021,21,15,26,315,0.0,0.0,232.41724499674075,0.334164309748448,0.09973638453239467,0.3595447313037521,0.6475760493345131
2021-05-26 16:00:00,2021,21,16,26,316,0.0,0.0,151.39600422244106,0.3569017795809279,0.10150196821977167,0.3616266110323698,0.6475760493345131
2021-05-26 17:00:00,2021,21,17,26,317,0.0,0.0,171.63246503951646,0.38324627448338267,0.10808688412017978,0.36796676355471164,0.6475760493345131
